escenario,archivo,filas_modelo,proporcion_clase_1,accuracy,precision,recall,f1,auc,delta_accuracy,delta_precision,delta_recall,delta_f1,delta_auc
Multivariada_final_pro,weatherAUS_final_pro.csv,142193,0.22418121848473554,0.845867129260631,0.7289304321176832,0.49743804245529644,0.5913356951954751,0.8680762811205632,0.0,0.0,0.0,0.0,0.0
Imputacion_simple,dataset_imputacion_simple.csv,142193,0.22418121848473554,0.8464297435416569,0.7306278713629403,0.49890201819512703,0.5929286024979805,0.8683206888891672,0.0005626142810258861,0.0016974392452571152,0.001463975739830592,0.0015929073025053864,0.0002444077686040158
Eliminacion_registros,dataset_eliminacion.csv,123710,0.2214210653948751,0.8467383396653464,0.7184046961325967,0.5063275736188854,0.5940042826552463,0.8715492911600654,0.0008712104047153835,-0.010525735985086437,0.008889531163588926,0.0026685874597711656,0.003473010039502178
