Intercepto,Humidity3pm,Humidity9am,Cloud3pm,Cloud9am,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Pressure9am,Pressure3pm,MinTemp,Temp9am,Sunshine
-1.826277626335936,0.9673662462129826,0.1539227946973288,0.23017928221977432,-0.08548693101745942,0.13756958010360176,0.6834669193108802,-0.06841828610008993,-0.20574390269109388,0.6999905264043185,-1.120615684177181,-0.07326162770476216,0.20704511877971343,-0.5302667297535746
-1.8192392975146126,1.0093590634715328,0.14840217425316757,0.2038049640824919,-0.05297251975264017,0.13433445776832023,0.7122710628333474,-0.08142450272570065,-0.21993701604096,0.7284543391675679,-1.1366269685966992,-0.07758485240743425,0.19352230001029902,-0.4951623830005198
-1.8263597591186398,0.9856596644232191,0.09291452215036687,0.18175154180247913,-0.04090703396240428,0.1577265989415843,0.6840196828171821,-0.0777924173379211,-0.20702642871162535,0.7600107749954502,-1.1771305797352942,-0.055959742754765764,0.13923029079592497,-0.5313090101595487
-1.8041008341965912,0.9987784434324064,0.13522700593120285,0.2218953030114288,-0.07349950406653062,0.16007893118066488,0.6922550146011902,-0.08964500023111019,-0.19076589849570139,0.701324342934581,-1.1314226931096427,-0.11683534324701589,0.1929827327919943,-0.4869091877937093
-1.8271917002693423,0.9791488018379501,0.1510317683425177,0.19476497618642835,-0.09647490385176828,0.1453670354087393,0.6862764301054702,-0.07962517704328602,-0.19789544160390785,0.6651739031745303,-1.0826754605142566,-0.11236049095541317,0.23699816364537188,-0.5410035849937176
-1.818870055530997,0.97951390909967,0.1606782906629186,0.21865112125324024,-0.07746370602951225,0.1402253174097169,0.7095286774444998,-0.10177628752720111,-0.19211909562562662,0.727322563014056,-1.1505867783294197,-0.07774736859307985,0.1864983175984629,-0.5051459042300687
-1.8224583404974208,1.002729281849841,0.1403871233990152,0.19153643900959438,-0.07569490902972423,0.1710537080953875,0.7212049493538326,-0.1030109739676366,-0.22275377987137202,0.7812987870794964,-1.2157606814117847,-0.1401792159044807,0.240662206656289,-0.5319541067882981
-1.7984396993873437,0.9799277012431578,0.13224669974724093,0.21053856759513045,-0.04322962029122599,0.13941880836390452,0.6929010328802478,-0.11113368526401227,-0.19749740597421742,0.6931730486869521,-1.1030821878792394,-0.12749079757445989,0.221767841760274,-0.4927860557024372
-1.8081571358720212,0.9808592012185856,0.15183745355116815,0.2053122105319796,-0.07937790290670552,0.14345749740907907,0.6910563854803244,-0.08032905237519321,-0.20752610994923298,0.705287162889507,-1.1459321936596567,-0.17742852310546534,0.2807048290854377,-0.5541279551153845
-1.8055982383113396,0.9760223343829653,0.15885216417307615,0.1969052643411726,-0.07069035579264137,0.14638810133718508,0.6679517246691423,-0.08956525092883681,-0.1647513132267942,0.670575507013164,-1.0859080356896662,-0.04244540657992545,0.14753870286107434,-0.4949693615911583
-1.8128122250811125,0.9944334169478828,0.11909136327666435,0.1782679760808126,-0.06219793987634035,0.1642027689422218,0.6746419726613098,-0.0809078718019003,-0.1963870600537042,0.7047117094701928,-1.1215839224781976,-0.11299129262111306,0.20646665163421,-0.5312618723364427
-1.8112001325921994,0.9865684132054376,0.12506817040529464,0.18182531649181302,-0.0779217530947824,0.17709356085530617,0.7156239992774082,-0.08679776676653131,-0.19655009537182447,0.703024495762485,-1.1139775482332426,-0.08010950625595332,0.1832790988891271,-0.5422089090838895
-1.7965717375077421,0.9966476045286412,0.1063073474864357,0.21532137470724202,-0.1031540826548235,0.16808078384993325,0.6674230941732199,-0.10197234356307555,-0.17748515441118923,0.7502133395717087,-1.1737145243573066,-0.09982824167025987,0.1883114952351145,-0.535974386642691
-1.8215103708127633,0.9876211604550478,0.12174031841485972,0.20636935019296263,-0.06218879649899214,0.15707354600581236,0.6964889297191784,-0.11582901519189452,-0.20404528703662017,0.7768581038344999,-1.2024084403790083,-0.08287298405213156,0.16985899542724706,-0.5279179184653874
-1.8129011780324908,1.0018200439785858,0.13865205555045118,0.1848788581731238,-0.09843809369006194,0.15342161151458988,0.6976057918199587,-0.10344488161050354,-0.17081436539402423,0.7360440092915783,-1.167764959333057,-0.06979933131321199,0.17567767633911333,-0.5434726758452466
-1.7976646213356298,0.9876673334783858,0.11745003727234542,0.17156825178296997,-0.037766201620646894,0.1695872993048651,0.6641739950892194,-0.07272022982604544,-0.19027356772189016,0.8024745438828288,-1.2251980806519491,-0.09892153357984232,0.18770701978600307,-0.5349016909038405
-1.8192607072148699,0.9698732528243014,0.12793441325610774,0.19657417037970942,-0.0709998831520691,0.15795748775724308,0.685536689605148,-0.07371298800655031,-0.2011684145184053,0.762589281983213,-1.1738100578910644,-0.0433054212720935,0.15797540979354843,-0.5425990616011638
-1.7969052861871695,0.9550823733921601,0.11974791942350112,0.18966170501740318,-0.06781400136810065,0.1584881047811283,0.6923976086760388,-0.08864504222664629,-0.21081361838522925,0.68833330478688,-1.1049721127185508,-0.05743050617664103,0.17233525476913442,-0.5187878298796618
-1.8266611963115285,0.9841874740187799,0.15264140613279673,0.21866308747723648,-0.0868005689912886,0.15143342804840065,0.728826684833969,-0.10657991375288886,-0.20783440013330942,0.7270199071807851,-1.146406398198132,-0.0896332686445126,0.20629009078697133,-0.5273295820440763
-1.8115702886239091,0.9477936801084247,0.1250539689786059,0.15554740433269493,-0.06084969432689472,0.15762906043763938,0.6890414131515901,-0.08219178059298562,-0.20276629209436609,0.7155630800008039,-1.1444148327357886,-0.10574771165031817,0.2248486803929231,-0.5834806839035774
-1.79987056244744,0.9836732432375124,0.11270395132135831,0.1890687591189834,-0.08035748930717498,0.16127798999005702,0.6819298684915696,-0.10519683478697821,-0.190164191352635,0.7175625731100166,-1.1279941856254236,-0.10209002736390761,0.21036184971249908,-0.5528072362089295
-1.795041402129171,0.9624856617401599,0.1216646605762932,0.20651638919654294,-0.06388577952609123,0.1553567132993405,0.6663933451574581,-0.10065770881883071,-0.17555188163589633,0.7035247054297069,-1.1328657665599282,-0.09690881401629435,0.20417538592080017,-0.5181626922177703
-1.8294686744619961,0.9855722262885127,0.14434158862979832,0.19647988655038917,-0.04513251922318066,0.1789285223156085,0.6974288752573484,-0.10629219706291596,-0.18722497861718165,0.7633960042940223,-1.1809895880341996,-0.06462815955963323,0.1661089722910675,-0.5028805350081027
-1.81669239172215,0.9909398134255618,0.13178146956196285,0.23912699282035746,-0.09264513512278226,0.1737154787984397,0.6842181249330458,-0.0967598532317054,-0.18589538282275905,0.8167750922221484,-1.239731745162748,-0.08074225167547877,0.15896462238512318,-0.5031237255820079
-1.7996561906992,0.995611459884654,0.11298172175147853,0.21094612725240874,-0.06997743119411838,0.15696250147418336,0.6869273237811871,-0.08523334330586624,-0.18158586325751686,0.776117766231407,-1.1825134924982843,-0.09512003143759222,0.18881699930302506,-0.5163952376101677
-1.8053588045417726,0.9693703354243478,0.11975492790634204,0.23606641304995205,-0.07885897899029407,0.17694656138747436,0.6978900799146643,-0.10805765541135076,-0.20552731764834883,0.712825366337778,-1.158001897848037,-0.09175051006007484,0.1670910899745309,-0.5182396447142439
-1.7961027525776436,0.9772661708452244,0.12130502605366118,0.1963478161340299,-0.08337568005520597,0.155306195678029,0.715487683254451,-0.11141328416363032,-0.20874568733469182,0.761795362224547,-1.1684715411338575,-0.0626175335323894,0.1782485459654966,-0.517798636448402
-1.7968988249798263,0.9667351966476634,0.1382038787373549,0.19313678756842703,-0.07109485779941307,0.14726615136320784,0.6759071769619346,-0.08689126124187037,-0.1871378915871984,0.7670077254921013,-1.186912034004888,-0.11288982254705986,0.21168458976481147,-0.532848963884123
-1.8171595129557006,1.0240557913811705,0.10745336691034678,0.18558722936588595,-0.05870566456576171,0.1394464349281768,0.6788971407875372,-0.09476436228414542,-0.19690362773016645,0.7203949686502401,-1.1730737436231697,-0.0825082809592318,0.1828868432626612,-0.5080428781035674
-1.8058498372567342,0.9781649893998937,0.1418514398477487,0.21475054785811198,-0.11066947520137341,0.14106528626761175,0.6614155839162175,-0.0822927601506328,-0.18285840015824822,0.6514025988546883,-1.0797286016724734,-0.04547901747502182,0.15420983572755215,-0.5318398106964434
-1.822964586533255,0.9913734293692381,0.1187777707348741,0.20409884936670886,-0.06785837077873633,0.1622831525834977,0.6759883323492489,-0.07517009166789707,-0.2012350735168211,0.7431535487776206,-1.1771120859360493,-0.07958229130408272,0.1648835287500543,-0.5319845077608557
-1.8240057201156086,0.9877718915792583,0.11961546341718696,0.20586479067345423,-0.09693867355492582,0.15116499461616562,0.6846414833196427,-0.08810897169214686,-0.2030730156490172,0.6872027761424783,-1.1185304614326843,-0.0981498560075227,0.21086133482069552,-0.5661432027997486
-1.8233563766156824,0.9853495728230895,0.14154340078303299,0.22030940108455854,-0.08225753277840271,0.153557942190347,0.6927360270378385,-0.10123172566986953,-0.1879872409428148,0.6912919300476134,-1.1099209671187735,-0.052556988873069505,0.157902279075707,-0.5207004380780911
-1.8093517697160026,0.9744584657022668,0.13596968402128223,0.21508937141968773,-0.06103664039024358,0.13195126951751107,0.6980047131721344,-0.10109598079036564,-0.18989773264432688,0.7288615446050147,-1.161906988050034,-0.1375705061827509,0.22250161370910942,-0.5192199825879333
-1.80481569010561,1.0073762678223663,0.12069903757318538,0.195719087035944,-0.09611192987014801,0.1635429406970575,0.6915478491038887,-0.08989801775190917,-0.18033608981181773,0.8192002512477595,-1.2619972390499286,-0.06815786587646007,0.13818091899590015,-0.5280689360018287
-1.827440559994835,0.957370750893808,0.13394739638993164,0.21050692397044718,-0.047673046327065004,0.13251467427147162,0.6895618003738422,-0.08883257286321772,-0.1944633783157957,0.6969794844043118,-1.1172766087052493,-0.05129794119537629,0.14811344669186818,-0.49633398526326844
-1.8023249936780132,0.9632861850153493,0.1634131313443536,0.21432423313187893,-0.0760356167433192,0.14702503264854602,0.7418259280115289,-0.10923311377570868,-0.2168540225212164,0.7038561475135386,-1.1061880420343366,-0.10325177044890121,0.22359870118125577,-0.523719322679067
-1.8050869262910127,0.9833287795319824,0.1540496588107736,0.21975787597158541,-0.05911660500541914,0.14409856069035015,0.6933585989780712,-0.0808862398293792,-0.20365455687955497,0.7185392063326014,-1.157849511220422,-0.11567518555469618,0.229435838007025,-0.4783729968931109
-1.8439469551947254,1.0032974101821535,0.1031633798516098,0.19243931852846086,-0.0806867950477015,0.15131598198490923,0.7072846131718094,-0.08862360254795146,-0.21946881515431974,0.7296967123611652,-1.1624829693304046,-0.01930603683174715,0.126840270878012,-0.535715530099143
-1.8017230815286687,0.9421917116171938,0.13768842816360485,0.202589167272257,-0.063663104314294,0.15300860516328801,0.6844177158591115,-0.08511487983954968,-0.18041449337559307,0.8183342916464126,-1.2267197161903736,-0.03976643342385109,0.14645265859752732,-0.5231902326279009
-1.820333563085388,0.968915835159852,0.1549611704337461,0.17539793958555774,-0.057046362114849224,0.1564605725676955,0.6973249789665673,-0.09397474823596917,-0.1884967583110959,0.7568881300527651,-1.1426640757768096,-0.1127086037052622,0.24455227200015575,-0.553659637758225
-1.813049699275067,0.9585511645780356,0.13477024334651805,0.2174998905563128,-0.05882739199537157,0.18216419535197634,0.6694713563692003,-0.07901460050851822,-0.18022333367621918,0.7337548483238067,-1.161273234094512,-0.12185272014146685,0.2286815200288568,-0.5190859497464433
-1.819452238860969,1.0151416937353768,0.09436564307798874,0.195246470410705,-0.0404142143671618,0.16033247713595372,0.6911505130668083,-0.09531266580460321,-0.19950995573704858,0.7860907098279156,-1.1998115768453468,-0.0909002190154319,0.19265392964557637,-0.5110438978699208
-1.8242119690141183,0.9780652264035349,0.14368710592359643,0.19975272062405305,-0.07450150543367673,0.14494826978076236,0.6928281069704272,-0.10871718968663725,-0.18159300393495972,0.7148232291376486,-1.1362309827600072,-0.10840214575846889,0.21589005690169535,-0.5525308241655527
-1.8058925184542347,0.9559723608215006,0.16373635845436835,0.20448511424486884,-0.05979566972139236,0.16456987732511089,0.696630584523307,-0.08757155909210171,-0.20102888728479953,0.7918841730574472,-1.2222496157915765,-0.11793489609439242,0.2175355438153083,-0.5089479130512627
