escenario,archivo,filas_modelo,proporcion_clase_1,accuracy,precision,recall,f1,auc
Multivariada_final_pro,weatherAUS_final_pro.csv,142193,0.22418121848473554,0.845867129260631,0.7289304321176832,0.49743804245529644,0.5913356951954751,0.8680762811205632
Imputacion_simple,dataset_imputacion_simple.csv,142193,0.22418121848473554,0.8464297435416569,0.7306278713629403,0.49890201819512703,0.5929286024979805,0.8683206888891672
Eliminacion_registros,dataset_eliminacion.csv,123710,0.2214210653948751,0.8467383396653464,0.7184046961325967,0.5063275736188854,0.5940042826552463,0.8715492911600654
