variable,n_original,media_original,mediana_original,desv_original,limite_iqr_inferior,limite_iqr_superior,n_sin_outliers,outliers_detectados,pct_outliers,media_sin_outliers,mediana_sin_outliers,desv_sin_outliers,diferencia_media,cambio_relativo_pct
Humidity3pm,145460,51.5533961226454,52.0,20.47134522131921,-5.0,107.0,145460,0,0.0,51.5533961226454,52.0,20.47134522131921,0.0,0.0
Pressure3pm,145460,1015.2501147531967,1015.2,6.663994300325923,998.6500000000001,1031.85,142936,2524,1.735184930565104,1015.289536519841,1015.2,6.205821466839253,0.03942176664429553,0.0038829610626420668
WindGustSpeed,145460,39.962188917915576,39.0,13.120931194245491,8.5,68.5,139937,5523,3.7969201154956687,38.51294511101424,39.0,10.951772539027376,-1.449243806901336,-3.6265376000252605
