Modelo,MSE,RMSE,R2
Red neuronal MLP,0.0378972053571618,0.19467204564898835,0.9344099443829049
Árbol de decisión,0.04531534308583436,0.21287400753928218,0.9215711067532337
Regresión lineal simple,0.04584265871112266,0.21410898792699634,0.9206584626449291
